record_year,model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
2018,AUDI A6,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,midsize car,3,20,29,23,5,No
2018,AUDI A6,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,midsize car,3,20,29,23,5,No
2018,AUDI A7,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,midsize car,3,20,29,23,5,No
2018,AUDI A7,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,midsize car,3,20,29,23,5,No
2018,AUDI A8 L,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,large car,3,19,29,22,4,No
2018,AUDI A8 L,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,large car,3,19,29,22,4,No
2018,AUDI Q3,2.0,4.0,SemiAuto-6,2WD,Gasoline,FA,small car,3,20,28,23,5,No
2018,AUDI Q3,2.0,4.0,SemiAuto-6,2WD,Gasoline,CA,small car,3,20,28,23,5,No
2018,AUDI Q3,2.0,4.0,SemiAuto-6,4WD,Gasoline,FA,small car,3,20,28,23,5,No
2018,AUDI Q3,2.0,4.0,SemiAuto-6,4WD,Gasoline,CA,small car,3,20,28,23,5,No
2018,AUDI Q5,2.0,4.0,SemiAuto-7,4WD,Gasoline,CA,small SUV,3,23,27,25,5,No
2018,AUDI Q5,2.0,4.0,SemiAuto-7,4WD,Gasoline,FA,small SUV,3,23,27,25,5,No
2018,AUDI Q7,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,standard SUV,3,19,25,21,4,No
2018,AUDI Q7,2.0,4.0,SemiAuto-8,4WD,Gasoline,FA,standard SUV,3,19,25,21,4,No
2018,AUDI Q7,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,standard SUV,3,19,25,21,4,No
2018,AUDI Q7,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,standard SUV,3,19,25,21,4,No
2018,AUDI RS3,2.5,5.0,AMS-7,4WD,Gasoline,CA,small car,3,19,28,22,4,No
2018,AUDI RS3,2.5,5.0,AMS-7,4WD,Gasoline,FA,small car,3,19,28,22,4,No
2018,AUDI S3,2.0,4.0,AMS-7,4WD,Gasoline,FA,small car,3,22,28,25,5,No
2018,AUDI S3,2.0,4.0,AMS-7,4WD,Gasoline,CA,small car,3,22,28,25,5,No
2018,AUDI S4,3.0,6.0,AMS-8,4WD,Gasoline,CA,small car,5,21,30,24,5,No
2018,AUDI S4,3.0,6.0,AMS-8,4WD,Gasoline,FA,small car,5,21,30,24,5,No
2018,AUDI S5,3.0,6.0,AMS-8,4WD,Gasoline,CA,small car,5,21,30,24,5,No
2018,AUDI S5,3.0,6.0,AMS-8,4WD,Gasoline,FA,small car,5,21,30,24,5,No
2018,AUDI S5 Cabriolet,3.0,6.0,AMS-8,4WD,Gasoline,CA,small car,5,20,29,23,5,No
2018,AUDI S5 Cabriolet,3.0,6.0,AMS-8,4WD,Gasoline,FA,small car,5,20,29,23,5,No
2018,AUDI S5 Sportback,3.0,6.0,AMS-8,4WD,Gasoline,CA,midsize car,5,21,30,24,5,No
2018,AUDI S5 Sportback,3.0,6.0,AMS-8,4WD,Gasoline,FA,midsize car,5,21,30,24,5,No
2018,AUDI SQ5,3.0,6.0,AMS-8,4WD,Gasoline,CA,small SUV,5,19,24,21,4,No
2018,AUDI SQ5,3.0,6.0,AMS-8,4WD,Gasoline,FA,small SUV,5,19,24,21,4,No
2018,AUDI TT Coupe,2.0,4.0,AMS-6,4WD,Gasoline,CA,small car,7,23,30,26,5,No
2018,AUDI TT Coupe,2.0,4.0,AMS-6,4WD,Gasoline,FA,small car,7,23,30,26,5,No
2018,AUDI TT RS,2.5,5.0,AMS-7,4WD,Gasoline,CA,small car,3,19,29,22,4,No
2018,AUDI TT RS,2.5,5.0,AMS-7,4WD,Gasoline,FA,small car,3,19,29,22,4,No
2018,AUDI TT Roadster,2.0,4.0,AMS-6,4WD,Gasoline,CA,small car,7,23,30,26,5,No
2018,AUDI TT Roadster,2.0,4.0,AMS-6,4WD,Gasoline,FA,small car,7,23,30,26,5,No
2018,AUDI TTS Coupe,2.0,4.0,AMS-6,4WD,Gasoline,FA,small car,3,23,27,25,5,No
2018,AUDI TTS Coupe,2.0,4.0,AMS-6,4WD,Gasoline,CA,small car,3,23,27,25,5,No
2018,AUDI allroad quattro,2.0,4.0,AMS-7,4WD,Gasoline,CA,station wagon,5,22,30,25,5,No
2018,AUDI allroad quattro,2.0,4.0,AMS-7,4WD,Gasoline,FA,station wagon,5,22,30,25,5,No
2018,BENTLEY Bentayga,6.0,12.0,SemiAuto-8,4WD,Gasoline,CA,standard SUV,3,12,19,15,2,No
2018,BENTLEY Bentayga,6.0,12.0,SemiAuto-8,4WD,Gasoline,FA,standard SUV,3,12,19,15,2,No
2018,BENTLEY Chiron,8.0,16.0,AMS-7,4WD,Gasoline,CA,small car,1,9,14,11,1,No
2018,BENTLEY Chiron,8.0,16.0,AMS-7,4WD,Gasoline,FA,small car,1,9,14,11,1,No
2018,BMW 230i Convertible,2.0,4.0,SemiAuto-8,2WD,Gasoline,CA,small car,7,24,34,27,6,No
2018,BMW 230i Convertible,2.0,4.0,SemiAuto-8,2WD,Gasoline,FA,small car,7,24,34,27,6,No
2018,BMW 230i Coupe,2.0,4.0,Man-6,2WD,Gasoline,CA,small car,7,21,32,25,5,No
2018,BMW 230i Coupe,2.0,4.0,Man-6,2WD,Gasoline,FA,small car,7,21,32,25,5,No
2018,BMW 230i Coupe,2.0,4.0,SemiAuto-8,2WD,Gasoline,CA,small car,7,24,35,28,6,No
2018,BMW 230i Coupe,2.0,4.0,SemiAuto-8,2WD,Gasoline,FA,small car,7,24,35,28,6,No
2018,BMW 230i xDrive Convertible,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,small car,7,23,33,27,6,No
2018,BMW 230i xDrive Convertible,2.0,4.0,SemiAuto-8,4WD,Gasoline,FA,small car,7,23,33,27,6,No
2018,BMW 230i xDrive Coupe,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,small car,7,24,33,27,6,No
2018,BMW 230i xDrive Coupe,2.0,4.0,SemiAuto-8,4WD,Gasoline,FA,small car,7,24,33,27,6,No
2018,BMW 320i,2.0,4.0,Man-6,2WD,Gasoline,FA,small car,3,23,35,27,6,No
2018,BMW 320i,2.0,4.0,Man-6,2WD,Gasoline,CA,small car,3,23,35,27,6,No
2018,BMW 320i,2.0,4.0,SemiAuto-8,2WD,Gasoline,FA,small car,3,24,35,28,6,No
2018,BMW 320i,2.0,4.0,SemiAuto-8,2WD,Gasoline,CA,small car,3,24,35,28,6,No
2018,BMW 320i,2.0,4.0,SemiAuto-8,4WD,Gasoline,FA,small car,3,23,34,27,6,No
2018,BMW 320i,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,small car,3,23,34,27,6,No
2018,BMW 330e,2.0,4.0,SemiAuto-8,2WD,Gasoline/Electricity,CA,small car,3,28/66,34/78,30/71,10,Yes
2018,BMW 330e,2.0,4.0,SemiAuto-8,2WD,Gasoline/Electricity,FA,small car,3,28/66,34/78,30/71,10,Yes
