,record_year,model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
41,2018,AUDI A5 Sportback quattro,2.0,40,AMS-7,4WD,Gasoline,CA,midsize car,5.0,24.0,34.0,27.0,6,No
42,2018,AUDI A5 Sportback quattro,2.0,40,AMS-7,4WD,Gasoline,FA,midsize car,5.0,24.0,34.0,27.0,6,No
43,2018,AUDI A6,2.0,40,AMS-7,2WD,Gasoline,CA,midsize car,5.0,25.0,34.0,28.0,6,No
44,2018,AUDI A6,2.0,40,AMS-7,2WD,Gasoline,FA,midsize car,5.0,25.0,34.0,28.0,6,No
45,2018,AUDI A6,2.0,40,SemiAuto-8,4WD,Gasoline,CA,midsize car,5.0,22.0,31.0,26.0,5,No
46,2018,AUDI A6,2.0,40,SemiAuto-8,4WD,Gasoline,FA,midsize car,5.0,22.0,31.0,26.0,5,No
47,2018,AUDI A6,3.0,60,SemiAuto-8,4WD,Gasoline,FA,midsize car,3.0,20.0,29.0,23.0,5,No
48,2018,AUDI A6,3.0,60,SemiAuto-8,4WD,Gasoline,CA,midsize car,3.0,20.0,29.0,23.0,5,No
49,2018,AUDI A7,3.0,60,SemiAuto-8,4WD,Gasoline,FA,midsize car,3.0,20.0,29.0,23.0,5,No
50,2018,AUDI A7,3.0,60,SemiAuto-8,4WD,Gasoline,CA,midsize car,3.0,20.0,29.0,23.0,5,No
51,2018,AUDI A8 L,3.0,60,SemiAuto-8,4WD,Gasoline,FA,large car,3.0,19.0,29.0,22.0,4,No
52,2018,AUDI A8 L,3.0,60,SemiAuto-8,4WD,Gasoline,CA,large car,3.0,19.0,29.0,22.0,4,No
53,2018,AUDI Q3,2.0,40,SemiAuto-6,2WD,Gasoline,FA,small car,3.0,20.0,28.0,23.0,5,No
54,2018,AUDI Q3,2.0,40,SemiAuto-6,2WD,Gasoline,CA,small car,3.0,20.0,28.0,23.0,5,No
55,2018,AUDI Q3,2.0,40,SemiAuto-6,4WD,Gasoline,FA,small car,3.0,20.0,28.0,23.0,5,No
56,2018,AUDI Q3,2.0,40,SemiAuto-6,4WD,Gasoline,CA,small car,3.0,20.0,28.0,23.0,5,No
57,2018,AUDI Q5,2.0,40,SemiAuto-7,4WD,Gasoline,CA,small SUV,3.0,23.0,27.0,25.0,5,No
58,2018,AUDI Q5,2.0,40,SemiAuto-7,4WD,Gasoline,FA,small SUV,3.0,23.0,27.0,25.0,5,No
59,2018,AUDI Q7,2.0,40,SemiAuto-8,4WD,Gasoline,CA,standard SUV,3.0,19.0,25.0,21.0,4,No
60,2018,AUDI Q7,2.0,40,SemiAuto-8,4WD,Gasoline,FA,standard SUV,3.0,19.0,25.0,21.0,4,No
61,2018,AUDI Q7,3.0,60,SemiAuto-8,4WD,Gasoline,FA,standard SUV,3.0,19.0,25.0,21.0,4,No
62,2018,AUDI Q7,3.0,60,SemiAuto-8,4WD,Gasoline,CA,standard SUV,3.0,19.0,25.0,21.0,4,No
63,2018,AUDI RS3,2.5,50,AMS-7,4WD,Gasoline,CA,small car,3.0,19.0,28.0,22.0,4,No
64,2018,AUDI RS3,2.5,50,AMS-7,4WD,Gasoline,FA,small car,3.0,19.0,28.0,22.0,4,No
65,2018,AUDI S3,2.0,40,AMS-7,4WD,Gasoline,FA,small car,3.0,22.0,28.0,25.0,5,No
66,2018,AUDI S3,2.0,40,AMS-7,4WD,Gasoline,CA,small car,3.0,22.0,28.0,25.0,5,No
67,2018,AUDI S4,3.0,60,AMS-8,4WD,Gasoline,CA,small car,5.0,21.0,30.0,24.0,5,No
68,2018,AUDI S4,3.0,60,AMS-8,4WD,Gasoline,FA,small car,5.0,21.0,30.0,24.0,5,No
69,2018,AUDI S5,3.0,60,AMS-8,4WD,Gasoline,CA,small car,5.0,21.0,30.0,24.0,5,No
