record_year,model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
2008,ACURA MDX,3.7,(6 cyl),Auto-S5,4WD,Gasoline,CA,SUV,7,15,20,17,4,no
2008,ACURA MDX,3.7,(6 cyl),Auto-S5,4WD,Gasoline,FA,SUV,6,15,20,17,4,no
2008,ACURA RDX,2.3,(4 cyl),Auto-S5,4WD,Gasoline,CA,SUV,7,17,22,19,5,no
2008,ACURA RDX,2.3,(4 cyl),Auto-S5,4WD,Gasoline,FA,SUV,6,17,22,19,5,no
2008,ACURA RL,3.5,(6 cyl),Auto-S5,4WD,Gasoline,CA,midsize car,7,16,24,19,5,no
2008,ACURA RL,3.5,(6 cyl),Auto-S5,4WD,Gasoline,FA,midsize car,6,16,24,19,5,no
2008,ACURA TL,3.2,(6 cyl),Auto-S5,2WD,Gasoline,CA,midsize car,7,18,26,21,6,yes
2008,ACURA TL,3.5,(6 cyl),Auto-S5,2WD,Gasoline,CA,midsize car,7,17,26,20,6,yes
2008,ACURA TL,3.5,(6 cyl),Man-6,2WD,Gasoline,CA,midsize car,7,18,27,21,6,yes
2008,ACURA TL,3.2,(6 cyl),Auto-S5,2WD,Gasoline,FA,midsize car,6,18,26,21,6,no
2008,ACURA TL,3.5,(6 cyl),Auto-S5,2WD,Gasoline,FA,midsize car,6,17,26,20,6,no
2008,ACURA TL,3.5,(6 cyl),Man-6,2WD,Gasoline,FA,midsize car,6,18,27,21,6,no
2008,ACURA TSX,2.4,(4 cyl),Man-6,2WD,Gasoline,FA,small car,6,19,28,22,6,no
2008,ACURA TSX,2.4,(4 cyl),Auto-S5,2WD,Gasoline,FA,small car,6,20,28,23,7,yes
2008,ACURA TSX,2.4,(4 cyl),Man-6,2WD,Gasoline,CA,small car,6,19,28,22,6,no
2008,ACURA TSX,2.4,(4 cyl),Auto-S5,2WD,Gasoline,CA,small car,6,20,28,23,7,yes
2008,ASTON MARTIN DB9,5.9,(12 cyl),Man-6,2WD,Gasoline,FA,small car,6,10,16,12,0,no
2008,ASTON MARTIN DB9,5.9,(12 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,11,18,13,1,no
2008,ASTON MARTIN DB9,5.9,(12 cyl),Man-6,2WD,Gasoline,CA,small car,6,10,16,12,0,no
2008,ASTON MARTIN DB9,5.9,(12 cyl),Auto-S6,2WD,Gasoline,CA,small car,6,11,18,13,1,no
2008,ASTON MARTIN DB9 Volante,5.9,(12 cyl),Man-6,2WD,Gasoline,FA,small car,6,10,16,12,0,no
2008,ASTON MARTIN DB9 Volante,5.9,(12 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,11,17,13,1,no
2008,ASTON MARTIN DB9 Volante,5.9,(12 cyl),Man-6,2WD,Gasoline,CA,small car,6,10,16,12,0,no
2008,ASTON MARTIN DB9 Volante,5.9,(12 cyl),Auto-S6,2WD,Gasoline,CA,small car,6,11,17,13,1,no
2008,ASTON MARTIN V8 Vantage,4.3,(8 cyl),Man-6,2WD,Gasoline,FA,small car,6,12,19,15,3,no
2008,ASTON MARTIN V8 Vantage,4.3,(8 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,13,20,15,3,no
2008,ASTON MARTIN V8 Vantage,4.3,(8 cyl),Man-6,2WD,Gasoline,CA,small car,6,12,19,15,3,no
2008,ASTON MARTIN V8 Vantage,4.3,(8 cyl),Auto-S6,2WD,Gasoline,CA,small car,6,13,20,15,3,no
2008,AUDI A3,2.0,(4 cyl),Man-6,2WD,Gasoline,CA,station wagon,7,21,29,24,7,yes
2008,AUDI A3,2.0,(4 cyl),Auto-S6,2WD,Gasoline,CA,station wagon,7,22,29,25,7,yes
2008,AUDI A3,2.0,(4 cyl),Man-6,2WD,Gasoline,FA,station wagon,6,21,29,24,7,yes
2008,AUDI A3,2.0,(4 cyl),Auto-S6,2WD,Gasoline,FA,station wagon,6,22,29,25,7,yes
2008,AUDI A3,3.2,(6 cyl),Auto-S6,4WD,Gasoline,FA,station wagon,6,18,25,21,6,no
2008,AUDI A3,3.2,(6 cyl),Auto-S6,4WD,Gasoline,CA,station wagon,6,18,25,21,6,no
2008,AUDI A4,2.0,(4 cyl),Auto-AV,2WD,Gasoline,CA,small car,7,21,30,24,7,yes
2008,AUDI A4,2.0,(4 cyl),Auto-AV,2WD,Gasoline,FA,small car,6,21,30,24,7,yes
2008,AUDI A4,3.1,(6 cyl),Man-6,4WD,Gasoline,FA,small car,6,15,25,19,5,no
2008,AUDI A4,3.1,(6 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,17,25,20,6,no
2008,AUDI A4,3.1,(6 cyl),Auto-AV,2WD,Gasoline,FA,small car,6,18,27,21,6,no
2008,AUDI A4,3.1,(6 cyl),Man-6,4WD,Gasoline,CA,small car,6,15,25,19,5,no
2008,AUDI A4,3.1,(6 cyl),Auto-S6,4WD,Gasoline,CA,small car,6,17,25,20,6,no
2008,AUDI A4,3.1,(6 cyl),Auto-AV,2WD,Gasoline,CA,small car,6,18,27,21,6,no
2008,AUDI A4 Avant,3.1,(6 cyl),Man-6,4WD,Gasoline,FA,station wagon,6,15,25,19,5,no
2008,AUDI A4 Avant,3.1,(6 cyl),Auto-S6,4WD,Gasoline,FA,station wagon,6,17,25,20,6,no
2008,AUDI A4 Avant,3.1,(6 cyl),Man-6,4WD,Gasoline,CA,station wagon,6,15,25,19,5,no
2008,AUDI A4 Avant,3.1,(6 cyl),Auto-S6,4WD,Gasoline,CA,station wagon,6,17,25,20,6,no
2008,AUDI A4 Cabriolet,3.1,(6 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,17,25,20,6,no
2008,AUDI A4 Cabriolet,3.1,(6 cyl),Auto-S6,4WD,Gasoline,CA,small car,6,17,25,20,6,no
2008,AUDI A6,3.1,(6 cyl),Auto-S6,4WD,Gasoline,FA,midsize car,6,17,25,20,6,no
2008,AUDI A6,3.1,(6 cyl),Auto-AV,2WD,Gasoline,FA,midsize car,6,18,27,21,6,no
2008,AUDI A6,3.1,(6 cyl),Auto-S6,4WD,Gasoline,CA,midsize car,6,17,25,20,6,no
2008,AUDI A6,3.1,(6 cyl),Auto-AV,2WD,Gasoline,CA,midsize car,6,18,27,21,6,no
2008,AUDI A6,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,midsize car,6,16,23,18,5,no
2008,AUDI A6,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,midsize car,6,16,23,18,5,no
2008,AUDI A6 Avant,3.1,(6 cyl),Auto-S6,4WD,Gasoline,FA,station wagon,6,17,25,20,6,no
2008,AUDI A6 Avant,3.1,(6 cyl),Auto-S6,4WD,Gasoline,CA,station wagon,6,17,25,20,6,no
2008,AUDI A8,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,midsize car,6,16,23,18,5,no
2008,AUDI A8,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,midsize car,6,16,23,18,5,no
2008,AUDI A8 L,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,large car,6,16,23,18,5,no
2008,AUDI A8 L,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,large car,6,16,23,18,5,no
2008,AUDI A8 L,6.0,(12 cyl),Auto-S6,4WD,Gasoline,FA,large car,6,13,19,15,3,no
2008,AUDI A8 L,6.0,(12 cyl),Auto-S6,4WD,Gasoline,CA,large car,6,13,19,15,3,no
2008,AUDI Q7,3.6,(6 cyl),Auto-S6,4WD,Gasoline,FA,SUV,6,14,20,16,4,no
2008,AUDI Q7,3.6,(6 cyl),Auto-S6,4WD,Gasoline,CA,SUV,6,14,20,16,4,no
2008,AUDI Q7,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,SUV,6,12,17,14,2,no
2008,AUDI Q7,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,SUV,6,12,17,14,2,no
2008,AUDI R8,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,13,19,15,3,no
2008,AUDI R8,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,small car,6,13,20,15,3,no
2008,AUDI R8,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,small car,6,13,19,15,3,no
2008,AUDI R8,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,small car,6,13,20,15,3,no
2008,AUDI RS4,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,small car,6,13,20,15,3,no
2008,AUDI RS4,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,small car,6,13,20,15,3,no
2008,AUDI RS4 Cabriolet,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,small car,6,12,19,14,2,no
2008,AUDI RS4 Cabriolet,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,small car,6,12,19,14,2,no
2008,AUDI S4,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,small car,6,13,20,15,3,no
2008,AUDI S4,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,14,21,16,4,no
2008,AUDI S4,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,small car,6,13,20,15,3,no
2008,AUDI S4,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,small car,6,14,21,16,4,no
2008,AUDI S4 Avant,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,station wagon,6,13,20,15,3,no
2008,AUDI S4 Avant,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,station wagon,6,14,21,16,4,no
2008,AUDI S4 Avant,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,station wagon,6,13,20,15,3,no
2008,AUDI S4 Avant,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,station wagon,6,14,21,16,4,no
2008,AUDI S4 Cabriolet,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,small car,6,13,19,15,3,no
2008,AUDI S4 Cabriolet,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,14,21,16,4,no
2008,AUDI S4 Cabriolet,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,small car,6,13,19,15,3,no
2008,AUDI S4 Cabriolet,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,small car,6,14,21,16,4,no
2008,AUDI S5,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,small car,6,14,21,16,4,no
2008,AUDI S5,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,small car,6,14,21,16,4,no
2008,AUDI S6,5.2,(10 cyl),Auto-S6,4WD,Gasoline,FA,midsize car,6,14,19,16,4,no
2008,AUDI S6,5.2,(10 cyl),Auto-S6,4WD,Gasoline,CA,midsize car,6,14,19,16,4,no
2008,AUDI S8,5.2,(10 cyl),Auto-S6,4WD,Gasoline,FA,midsize car,6,13,19,15,3,no
2008,AUDI S8,5.2,(10 cyl),Auto-S6,4WD,Gasoline,CA,midsize car,6,13,19,15,3,no
2008,AUDI TT Coupe,2.0,(4 cyl),Auto-S6,2WD,Gasoline,CA,small car,7,23,31,26,8,yes
2008,AUDI TT Coupe,2.0,(4 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,23,31,26,8,yes
2008,AUDI TT Coupe,3.2,(6 cyl),Man-6,4WD,Gasoline,FA,small car,6,17,24,19,5,no
2008,AUDI TT Coupe,3.2,(6 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,18,24,20,6,no
2008,AUDI TT Coupe,3.2,(6 cyl),Man-6,4WD,Gasoline,CA,small car,6,17,24,19,5,no
2008,AUDI TT Coupe,3.2,(6 cyl),Auto-S6,4WD,Gasoline,CA,small car,6,18,24,20,6,no
2008,AUDI TT Roadster,2.0,(4 cyl),Auto-S6,2WD,Gasoline,CA,small car,7,22,29,25,7,yes
2008,AUDI TT Roadster,2.0,(4 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,22,29,25,7,yes
2008,AUDI TT Roadster,3.2,(6 cyl),Man-6,4WD,Gasoline,FA,small car,6,17,24,19,5,no
2008,AUDI TT Roadster,3.2,(6 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,18,24,20,6,no
2008,AUDI TT Roadster,3.2,(6 cyl),Man-6,4WD,Gasoline,CA,small car,6,17,24,19,5,no
2008,AUDI TT Roadster,3.2,(6 cyl),Auto-S6,4WD,Gasoline,CA,small car,6,18,24,20,6,no
2008,BENTLEY Arnage,6.7,(8 cyl),Auto-S6,2WD,Gasoline,FA,large car,6,9,15,11,0,no
2008,BENTLEY Arnage,6.7,(8 cyl),Auto-S6,2WD,Gasoline,FA,midsize car,6,10,15,11,0,no
2008,BENTLEY Arnage,6.7,(8 cyl),Auto-S6,2WD,Gasoline,CA,large car,6,9,15,11,0,no
2008,BENTLEY Arnage,6.7,(8 cyl),Auto-S6,2WD,Gasoline,CA,midsize car,6,10,15,11,0,no
2008,BENTLEY Azure,6.7,(8 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,9,15,11,0,no
2008,BENTLEY Azure,6.7,(8 cyl),Auto-S6,2WD,Gasoline,CA,small car,6,9,15,11,0,no
2008,BENTLEY Continental Flying Spur,6.0,(12 cyl),Auto-S6,4WD,Gasoline,FA,midsize car,6,10,17,12,0,no
2008,BENTLEY Continental Flying Spur,6.0,(12 cyl),Auto-S6,4WD,Gasoline,CA,midsize car,6,10,17,12,0,no
2008,BENTLEY Continental GT,6.0,(12 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,10,17,13,1,no
2008,BENTLEY Continental GT,6.0,(12 cyl),Auto-S6,4WD,Gasoline,CA,small car,6,10,17,13,1,no
2008,BENTLEY Continental GTC,6.0,(12 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,10,17,12,0,no
2008,BENTLEY Continental GTC,6.0,(12 cyl),Auto-S6,4WD,Gasoline,CA,small car,6,10,17,12,0,no
2008,BMW 328ci,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,small car,9.5,20,30,24,7,yes
2008,BMW 328ci,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,small car,9.5,23,31,25,7,yes
2008,BMW 328ci,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,small car,7,20,30,24,7,yes
2008,BMW 328ci,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,small car,7,23,31,25,7,yes
2008,BMW 328ci,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,small car,6,20,30,24,7,yes
2008,BMW 328ci,3.0,(6 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,23,31,25,7,yes
2008,BMW 328ci Convertible,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,small car,9.5,19,29,22,6,yes
2008,BMW 328ci Convertible,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,small car,9.5,20,30,24,7,yes
2008,BMW 328ci Convertible,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,small car,7,19,29,22,6,yes
2008,BMW 328ci Convertible,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,small car,7,20,30,24,7,yes
2008,BMW 328ci Convertible,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,small car,6,19,29,22,6,no
2008,BMW 328ci Convertible,3.0,(6 cyl),Auto-S6,2WD,Gasoline,FA,small car,6,20,30,24,7,yes
2008,BMW 328cxi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,CA,small car,9.5,20,27,23,7,yes
2008,BMW 328cxi,3.0,(6 cyl),Man-6,4WD,Gasoline,CA,small car,7,19,28,22,6,yes
2008,BMW 328cxi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,CA,small car,7,20,27,23,7,yes
2008,BMW 328cxi,3.0,(6 cyl),Man-6,4WD,Gasoline,FA,small car,6,19,28,22,6,no
2008,BMW 328cxi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,FA,small car,6,20,27,23,7,yes
2008,BMW 328i,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,small car,9.5,20,30,24,7,yes
2008,BMW 328i,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,small car,9.5,23,31,25,7,yes
2008,BMW 328i,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,small car,7,20,30,24,7,yes
2008,BMW 328i,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,small car,7,23,31,25,7,yes
2008,BMW 328i,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,small car,6,20,30,24,7,yes
