,record_year,model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
0,2008,ACURA MDX,3.7,6,Auto-S5,4WD,Gasoline,CA,SUV,7.0,15.0,20.0,17.0,4,no
1,2008,ACURA MDX,3.7,6,Auto-S5,4WD,Gasoline,FA,SUV,6.0,15.0,20.0,17.0,4,no
2,2008,ACURA RDX,2.3,4,Auto-S5,4WD,Gasoline,CA,SUV,7.0,17.0,22.0,19.0,5,no
3,2008,ACURA RDX,2.3,4,Auto-S5,4WD,Gasoline,FA,SUV,6.0,17.0,22.0,19.0,5,no
4,2008,ACURA RL,3.5,6,Auto-S5,4WD,Gasoline,CA,midsize car,7.0,16.0,24.0,19.0,5,no
5,2008,ACURA RL,3.5,6,Auto-S5,4WD,Gasoline,FA,midsize car,6.0,16.0,24.0,19.0,5,no
6,2008,ACURA TL,3.2,6,Auto-S5,2WD,Gasoline,CA,midsize car,7.0,18.0,26.0,21.0,6,yes
7,2008,ACURA TL,3.5,6,Auto-S5,2WD,Gasoline,CA,midsize car,7.0,17.0,26.0,20.0,6,yes
8,2008,ACURA TL,3.5,6,Man-6,2WD,Gasoline,CA,midsize car,7.0,18.0,27.0,21.0,6,yes
9,2008,ACURA TL,3.2,6,Auto-S5,2WD,Gasoline,FA,midsize car,6.0,18.0,26.0,21.0,6,no
10,2008,ACURA TL,3.5,6,Auto-S5,2WD,Gasoline,FA,midsize car,6.0,17.0,26.0,20.0,6,no
11,2008,ACURA TL,3.5,6,Man-6,2WD,Gasoline,FA,midsize car,6.0,18.0,27.0,21.0,6,no
12,2008,ACURA TSX,2.4,4,Man-6,2WD,Gasoline,FA,small car,6.0,19.0,28.0,22.0,6,no
13,2008,ACURA TSX,2.4,4,Auto-S5,2WD,Gasoline,FA,small car,6.0,20.0,28.0,23.0,7,yes
14,2008,ACURA TSX,2.4,4,Man-6,2WD,Gasoline,CA,small car,6.0,19.0,28.0,22.0,6,no
15,2008,ACURA TSX,2.4,4,Auto-S5,2WD,Gasoline,CA,small car,6.0,20.0,28.0,23.0,7,yes
16,2008,ASTON MARTIN DB9,5.9,12,Man-6,2WD,Gasoline,FA,small car,6.0,10.0,16.0,12.0,0,no
17,2008,ASTON MARTIN DB9,5.9,12,Auto-S6,2WD,Gasoline,FA,small car,6.0,11.0,18.0,13.0,1,no
18,2008,ASTON MARTIN DB9,5.9,12,Man-6,2WD,Gasoline,CA,small car,6.0,10.0,16.0,12.0,0,no
19,2008,ASTON MARTIN DB9,5.9,12,Auto-S6,2WD,Gasoline,CA,small car,6.0,11.0,18.0,13.0,1,no
20,2008,ASTON MARTIN DB9 Volante,5.9,12,Man-6,2WD,Gasoline,FA,small car,6.0,10.0,16.0,12.0,0,no
21,2008,ASTON MARTIN DB9 Volante,5.9,12,Auto-S6,2WD,Gasoline,FA,small car,6.0,11.0,17.0,13.0,1,no
22,2008,ASTON MARTIN DB9 Volante,5.9,12,Man-6,2WD,Gasoline,CA,small car,6.0,10.0,16.0,12.0,0,no
23,2008,ASTON MARTIN DB9 Volante,5.9,12,Auto-S6,2WD,Gasoline,CA,small car,6.0,11.0,17.0,13.0,1,no
24,2008,ASTON MARTIN V8 Vantage,4.3,8,Man-6,2WD,Gasoline,FA,small car,6.0,12.0,19.0,15.0,3,no
25,2008,ASTON MARTIN V8 Vantage,4.3,8,Auto-S6,2WD,Gasoline,FA,small car,6.0,13.0,20.0,15.0,3,no
26,2008,ASTON MARTIN V8 Vantage,4.3,8,Man-6,2WD,Gasoline,CA,small car,6.0,12.0,19.0,15.0,3,no
27,2008,ASTON MARTIN V8 Vantage,4.3,8,Auto-S6,2WD,Gasoline,CA,small car,6.0,13.0,20.0,15.0,3,no
28,2008,AUDI A3,2.0,4,Man-6,2WD,Gasoline,CA,station wagon,7.0,21.0,29.0,24.0,7,yes
29,2008,AUDI A3,2.0,4,Auto-S6,2WD,Gasoline,CA,station wagon,7.0,22.0,29.0,25.0,7,yes
30,2008,AUDI A3,2.0,4,Man-6,2WD,Gasoline,FA,station wagon,6.0,21.0,29.0,24.0,7,yes
31,2008,AUDI A3,2.0,4,Auto-S6,2WD,Gasoline,FA,station wagon,6.0,22.0,29.0,25.0,7,yes
32,2008,AUDI A3,3.2,6,Auto-S6,4WD,Gasoline,FA,station wagon,6.0,18.0,25.0,21.0,6,no
33,2008,AUDI A3,3.2,6,Auto-S6,4WD,Gasoline,CA,station wagon,6.0,18.0,25.0,21.0,6,no
34,2008,AUDI A4,2.0,4,Auto-AV,2WD,Gasoline,CA,small car,7.0,21.0,30.0,24.0,7,yes
35,2008,AUDI A4,2.0,4,Auto-AV,2WD,Gasoline,FA,small car,6.0,21.0,30.0,24.0,7,yes
36,2008,AUDI A4,3.1,6,Man-6,4WD,Gasoline,FA,small car,6.0,15.0,25.0,19.0,5,no
37,2008,AUDI A4,3.1,6,Auto-S6,4WD,Gasoline,FA,small car,6.0,17.0,25.0,20.0,6,no
38,2008,AUDI A4,3.1,6,Auto-AV,2WD,Gasoline,FA,small car,6.0,18.0,27.0,21.0,6,no
39,2008,AUDI A4,3.1,6,Man-6,4WD,Gasoline,CA,small car,6.0,15.0,25.0,19.0,5,no
