Unnamed: 0_2008,record_yea_2008,model_2008,displ_2008,cyl_2008,trans_2008,drive_2008,fuel_2008,cert_regio_2008,veh_class_2008,air_pollut_2008,city_mpg_2008,hwy_mpg_2008,cmb_mpg_2008,greenhouse_2008,smartway_2008,Unnamed: 0,record_year,model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
31,2008,AUDI A3,2.0,4,Auto-S6,2WD,Gasoline,FA,station wagon,6.0,22.0,29.0,25.0,7,yes,21,2018,AUDI A3,2.0,40,AMS-6,4WD,Gasoline,CA,small car,7.0,24.0,31.0,27.0,6,No
31,2008,AUDI A3,2.0,4,Auto-S6,2WD,Gasoline,FA,station wagon,6.0,22.0,29.0,25.0,7,yes,22,2018,AUDI A3,2.0,40,AMS-6,4WD,Gasoline,FA,small car,7.0,24.0,31.0,27.0,6,No
31,2008,AUDI A3,2.0,4,Auto-S6,2WD,Gasoline,FA,station wagon,6.0,22.0,29.0,25.0,7,yes,23,2018,AUDI A3,2.0,40,AMS-7,2WD,Gasoline,CA,small car,7.0,26.0,35.0,29.0,6,No
31,2008,AUDI A3,2.0,4,Auto-S6,2WD,Gasoline,FA,station wagon,6.0,22.0,29.0,25.0,7,yes,24,2018,AUDI A3,2.0,40,AMS-7,2WD,Gasoline,FA,small car,7.0,26.0,35.0,29.0,6,No
32,2008,AUDI A3,3.2,6,Auto-S6,4WD,Gasoline,FA,station wagon,6.0,18.0,25.0,21.0,6,no,21,2018,AUDI A3,2.0,40,AMS-6,4WD,Gasoline,CA,small car,7.0,24.0,31.0,27.0,6,No
32,2008,AUDI A3,3.2,6,Auto-S6,4WD,Gasoline,FA,station wagon,6.0,18.0,25.0,21.0,6,no,22,2018,AUDI A3,2.0,40,AMS-6,4WD,Gasoline,FA,small car,7.0,24.0,31.0,27.0,6,No
32,2008,AUDI A3,3.2,6,Auto-S6,4WD,Gasoline,FA,station wagon,6.0,18.0,25.0,21.0,6,no,23,2018,AUDI A3,2.0,40,AMS-7,2WD,Gasoline,CA,small car,7.0,26.0,35.0,29.0,6,No
32,2008,AUDI A3,3.2,6,Auto-S6,4WD,Gasoline,FA,station wagon,6.0,18.0,25.0,21.0,6,no,24,2018,AUDI A3,2.0,40,AMS-7,2WD,Gasoline,FA,small car,7.0,26.0,35.0,29.0,6,No
33,2008,AUDI A3,3.2,6,Auto-S6,4WD,Gasoline,CA,station wagon,6.0,18.0,25.0,21.0,6,no,21,2018,AUDI A3,2.0,40,AMS-6,4WD,Gasoline,CA,small car,7.0,24.0,31.0,27.0,6,No
33,2008,AUDI A3,3.2,6,Auto-S6,4WD,Gasoline,CA,station wagon,6.0,18.0,25.0,21.0,6,no,22,2018,AUDI A3,2.0,40,AMS-6,4WD,Gasoline,FA,small car,7.0,24.0,31.0,27.0,6,No
33,2008,AUDI A3,3.2,6,Auto-S6,4WD,Gasoline,CA,station wagon,6.0,18.0,25.0,21.0,6,no,23,2018,AUDI A3,2.0,40,AMS-7,2WD,Gasoline,CA,small car,7.0,26.0,35.0,29.0,6,No
33,2008,AUDI A3,3.2,6,Auto-S6,4WD,Gasoline,CA,station wagon,6.0,18.0,25.0,21.0,6,no,24,2018,AUDI A3,2.0,40,AMS-7,2WD,Gasoline,FA,small car,7.0,26.0,35.0,29.0,6,No
34,2008,AUDI A4,2.0,4,Auto-AV,2WD,Gasoline,CA,small car,7.0,21.0,30.0,24.0,7,yes,29,2018,AUDI A4,2.0,40,AMS-7,4WD,Gasoline,CA,small car,5.0,24.0,34.0,27.0,6,No
34,2008,AUDI A4,2.0,4,Auto-AV,2WD,Gasoline,CA,small car,7.0,21.0,30.0,24.0,7,yes,30,2018,AUDI A4,2.0,40,AMS-7,4WD,Gasoline,FA,small car,5.0,24.0,34.0,27.0,6,No
34,2008,AUDI A4,2.0,4,Auto-AV,2WD,Gasoline,CA,small car,7.0,21.0,30.0,24.0,7,yes,31,2018,AUDI A4,2.0,40,Man-6,4WD,Gasoline,CA,small car,3.0,24.0,33.0,27.0,6,No
34,2008,AUDI A4,2.0,4,Auto-AV,2WD,Gasoline,CA,small car,7.0,21.0,30.0,24.0,7,yes,32,2018,AUDI A4,2.0,40,Man-6,4WD,Gasoline,FA,small car,3.0,24.0,33.0,27.0,6,No
35,2008,AUDI A4,2.0,4,Auto-AV,2WD,Gasoline,FA,small car,6.0,21.0,30.0,24.0,7,yes,29,2018,AUDI A4,2.0,40,AMS-7,4WD,Gasoline,CA,small car,5.0,24.0,34.0,27.0,6,No
35,2008,AUDI A4,2.0,4,Auto-AV,2WD,Gasoline,FA,small car,6.0,21.0,30.0,24.0,7,yes,30,2018,AUDI A4,2.0,40,AMS-7,4WD,Gasoline,FA,small car,5.0,24.0,34.0,27.0,6,No
35,2008,AUDI A4,2.0,4,Auto-AV,2WD,Gasoline,FA,small car,6.0,21.0,30.0,24.0,7,yes,31,2018,AUDI A4,2.0,40,Man-6,4WD,Gasoline,CA,small car,3.0,24.0,33.0,27.0,6,No
35,2008,AUDI A4,2.0,4,Auto-AV,2WD,Gasoline,FA,small car,6.0,21.0,30.0,24.0,7,yes,32,2018,AUDI A4,2.0,40,Man-6,4WD,Gasoline,FA,small car,3.0,24.0,33.0,27.0,6,No
36,2008,AUDI A4,3.1,6,Man-6,4WD,Gasoline,FA,small car,6.0,15.0,25.0,19.0,5,no,29,2018,AUDI A4,2.0,40,AMS-7,4WD,Gasoline,CA,small car,5.0,24.0,34.0,27.0,6,No
36,2008,AUDI A4,3.1,6,Man-6,4WD,Gasoline,FA,small car,6.0,15.0,25.0,19.0,5,no,30,2018,AUDI A4,2.0,40,AMS-7,4WD,Gasoline,FA,small car,5.0,24.0,34.0,27.0,6,No
36,2008,AUDI A4,3.1,6,Man-6,4WD,Gasoline,FA,small car,6.0,15.0,25.0,19.0,5,no,31,2018,AUDI A4,2.0,40,Man-6,4WD,Gasoline,CA,small car,3.0,24.0,33.0,27.0,6,No
36,2008,AUDI A4,3.1,6,Man-6,4WD,Gasoline,FA,small car,6.0,15.0,25.0,19.0,5,no,32,2018,AUDI A4,2.0,40,Man-6,4WD,Gasoline,FA,small car,3.0,24.0,33.0,27.0,6,No
37,2008,AUDI A4,3.1,6,Auto-S6,4WD,Gasoline,FA,small car,6.0,17.0,25.0,20.0,6,no,29,2018,AUDI A4,2.0,40,AMS-7,4WD,Gasoline,CA,small car,5.0,24.0,34.0,27.0,6,No
37,2008,AUDI A4,3.1,6,Auto-S6,4WD,Gasoline,FA,small car,6.0,17.0,25.0,20.0,6,no,30,2018,AUDI A4,2.0,40,AMS-7,4WD,Gasoline,FA,small car,5.0,24.0,34.0,27.0,6,No
37,2008,AUDI A4,3.1,6,Auto-S6,4WD,Gasoline,FA,small car,6.0,17.0,25.0,20.0,6,no,31,2018,AUDI A4,2.0,40,Man-6,4WD,Gasoline,CA,small car,3.0,24.0,33.0,27.0,6,No
37,2008,AUDI A4,3.1,6,Auto-S6,4WD,Gasoline,FA,small car,6.0,17.0,25.0,20.0,6,no,32,2018,AUDI A4,2.0,40,Man-6,4WD,Gasoline,FA,small car,3.0,24.0,33.0,27.0,6,No
38,2008,AUDI A4,3.1,6,Auto-AV,2WD,Gasoline,FA,small car,6.0,18.0,27.0,21.0,6,no,29,2018,AUDI A4,2.0,40,AMS-7,4WD,Gasoline,CA,small car,5.0,24.0,34.0,27.0,6,No
38,2008,AUDI A4,3.1,6,Auto-AV,2WD,Gasoline,FA,small car,6.0,18.0,27.0,21.0,6,no,30,2018,AUDI A4,2.0,40,AMS-7,4WD,Gasoline,FA,small car,5.0,24.0,34.0,27.0,6,No
38,2008,AUDI A4,3.1,6,Auto-AV,2WD,Gasoline,FA,small car,6.0,18.0,27.0,21.0,6,no,31,2018,AUDI A4,2.0,40,Man-6,4WD,Gasoline,CA,small car,3.0,24.0,33.0,27.0,6,No
38,2008,AUDI A4,3.1,6,Auto-AV,2WD,Gasoline,FA,small car,6.0,18.0,27.0,21.0,6,no,32,2018,AUDI A4,2.0,40,Man-6,4WD,Gasoline,FA,small car,3.0,24.0,33.0,27.0,6,No
39,2008,AUDI A4,3.1,6,Man-6,4WD,Gasoline,CA,small car,6.0,15.0,25.0,19.0,5,no,29,2018,AUDI A4,2.0,40,AMS-7,4WD,Gasoline,CA,small car,5.0,24.0,34.0,27.0,6,No
39,2008,AUDI A4,3.1,6,Man-6,4WD,Gasoline,CA,small car,6.0,15.0,25.0,19.0,5,no,30,2018,AUDI A4,2.0,40,AMS-7,4WD,Gasoline,FA,small car,5.0,24.0,34.0,27.0,6,No
39,2008,AUDI A4,3.1,6,Man-6,4WD,Gasoline,CA,small car,6.0,15.0,25.0,19.0,5,no,31,2018,AUDI A4,2.0,40,Man-6,4WD,Gasoline,CA,small car,3.0,24.0,33.0,27.0,6,No
39,2008,AUDI A4,3.1,6,Man-6,4WD,Gasoline,CA,small car,6.0,15.0,25.0,19.0,5,no,32,2018,AUDI A4,2.0,40,Man-6,4WD,Gasoline,FA,small car,3.0,24.0,33.0,27.0,6,No
40,2008,AUDI A4,3.1,6,Auto-S6,4WD,Gasoline,CA,small car,6.0,17.0,25.0,20.0,6,no,29,2018,AUDI A4,2.0,40,AMS-7,4WD,Gasoline,CA,small car,5.0,24.0,34.0,27.0,6,No
40,2008,AUDI A4,3.1,6,Auto-S6,4WD,Gasoline,CA,small car,6.0,17.0,25.0,20.0,6,no,30,2018,AUDI A4,2.0,40,AMS-7,4WD,Gasoline,FA,small car,5.0,24.0,34.0,27.0,6,No
40,2008,AUDI A4,3.1,6,Auto-S6,4WD,Gasoline,CA,small car,6.0,17.0,25.0,20.0,6,no,31,2018,AUDI A4,2.0,40,Man-6,4WD,Gasoline,CA,small car,3.0,24.0,33.0,27.0,6,No
40,2008,AUDI A4,3.1,6,Auto-S6,4WD,Gasoline,CA,small car,6.0,17.0,25.0,20.0,6,no,32,2018,AUDI A4,2.0,40,Man-6,4WD,Gasoline,FA,small car,3.0,24.0,33.0,27.0,6,No
41,2008,AUDI A4,3.1,6,Auto-AV,2WD,Gasoline,CA,small car,6.0,18.0,27.0,21.0,6,no,29,2018,AUDI A4,2.0,40,AMS-7,4WD,Gasoline,CA,small car,5.0,24.0,34.0,27.0,6,No
41,2008,AUDI A4,3.1,6,Auto-AV,2WD,Gasoline,CA,small car,6.0,18.0,27.0,21.0,6,no,30,2018,AUDI A4,2.0,40,AMS-7,4WD,Gasoline,FA,small car,5.0,24.0,34.0,27.0,6,No
41,2008,AUDI A4,3.1,6,Auto-AV,2WD,Gasoline,CA,small car,6.0,18.0,27.0,21.0,6,no,31,2018,AUDI A4,2.0,40,Man-6,4WD,Gasoline,CA,small car,3.0,24.0,33.0,27.0,6,No
41,2008,AUDI A4,3.1,6,Auto-AV,2WD,Gasoline,CA,small car,6.0,18.0,27.0,21.0,6,no,32,2018,AUDI A4,2.0,40,Man-6,4WD,Gasoline,FA,small car,3.0,24.0,33.0,27.0,6,No
48,2008,AUDI A6,3.1,6,Auto-S6,4WD,Gasoline,FA,midsize car,6.0,17.0,25.0,20.0,6,no,43,2018,AUDI A6,2.0,40,AMS-7,2WD,Gasoline,CA,midsize car,5.0,25.0,34.0,28.0,6,No
48,2008,AUDI A6,3.1,6,Auto-S6,4WD,Gasoline,FA,midsize car,6.0,17.0,25.0,20.0,6,no,44,2018,AUDI A6,2.0,40,AMS-7,2WD,Gasoline,FA,midsize car,5.0,25.0,34.0,28.0,6,No
48,2008,AUDI A6,3.1,6,Auto-S6,4WD,Gasoline,FA,midsize car,6.0,17.0,25.0,20.0,6,no,45,2018,AUDI A6,2.0,40,SemiAuto-8,4WD,Gasoline,CA,midsize car,5.0,22.0,31.0,26.0,5,No
48,2008,AUDI A6,3.1,6,Auto-S6,4WD,Gasoline,FA,midsize car,6.0,17.0,25.0,20.0,6,no,46,2018,AUDI A6,2.0,40,SemiAuto-8,4WD,Gasoline,FA,midsize car,5.0,22.0,31.0,26.0,5,No
48,2008,AUDI A6,3.1,6,Auto-S6,4WD,Gasoline,FA,midsize car,6.0,17.0,25.0,20.0,6,no,47,2018,AUDI A6,3.0,60,SemiAuto-8,4WD,Gasoline,FA,midsize car,3.0,20.0,29.0,23.0,5,No
48,2008,AUDI A6,3.1,6,Auto-S6,4WD,Gasoline,FA,midsize car,6.0,17.0,25.0,20.0,6,no,48,2018,AUDI A6,3.0,60,SemiAuto-8,4WD,Gasoline,CA,midsize car,3.0,20.0,29.0,23.0,5,No
49,2008,AUDI A6,3.1,6,Auto-AV,2WD,Gasoline,FA,midsize car,6.0,18.0,27.0,21.0,6,no,43,2018,AUDI A6,2.0,40,AMS-7,2WD,Gasoline,CA,midsize car,5.0,25.0,34.0,28.0,6,No
49,2008,AUDI A6,3.1,6,Auto-AV,2WD,Gasoline,FA,midsize car,6.0,18.0,27.0,21.0,6,no,44,2018,AUDI A6,2.0,40,AMS-7,2WD,Gasoline,FA,midsize car,5.0,25.0,34.0,28.0,6,No
49,2008,AUDI A6,3.1,6,Auto-AV,2WD,Gasoline,FA,midsize car,6.0,18.0,27.0,21.0,6,no,45,2018,AUDI A6,2.0,40,SemiAuto-8,4WD,Gasoline,CA,midsize car,5.0,22.0,31.0,26.0,5,No
49,2008,AUDI A6,3.1,6,Auto-AV,2WD,Gasoline,FA,midsize car,6.0,18.0,27.0,21.0,6,no,46,2018,AUDI A6,2.0,40,SemiAuto-8,4WD,Gasoline,FA,midsize car,5.0,22.0,31.0,26.0,5,No
49,2008,AUDI A6,3.1,6,Auto-AV,2WD,Gasoline,FA,midsize car,6.0,18.0,27.0,21.0,6,no,47,2018,AUDI A6,3.0,60,SemiAuto-8,4WD,Gasoline,FA,midsize car,3.0,20.0,29.0,23.0,5,No
49,2008,AUDI A6,3.1,6,Auto-AV,2WD,Gasoline,FA,midsize car,6.0,18.0,27.0,21.0,6,no,48,2018,AUDI A6,3.0,60,SemiAuto-8,4WD,Gasoline,CA,midsize car,3.0,20.0,29.0,23.0,5,No
50,2008,AUDI A6,3.1,6,Auto-S6,4WD,Gasoline,CA,midsize car,6.0,17.0,25.0,20.0,6,no,43,2018,AUDI A6,2.0,40,AMS-7,2WD,Gasoline,CA,midsize car,5.0,25.0,34.0,28.0,6,No
50,2008,AUDI A6,3.1,6,Auto-S6,4WD,Gasoline,CA,midsize car,6.0,17.0,25.0,20.0,6,no,44,2018,AUDI A6,2.0,40,AMS-7,2WD,Gasoline,FA,midsize car,5.0,25.0,34.0,28.0,6,No
50,2008,AUDI A6,3.1,6,Auto-S6,4WD,Gasoline,CA,midsize car,6.0,17.0,25.0,20.0,6,no,45,2018,AUDI A6,2.0,40,SemiAuto-8,4WD,Gasoline,CA,midsize car,5.0,22.0,31.0,26.0,5,No
50,2008,AUDI A6,3.1,6,Auto-S6,4WD,Gasoline,CA,midsize car,6.0,17.0,25.0,20.0,6,no,46,2018,AUDI A6,2.0,40,SemiAuto-8,4WD,Gasoline,FA,midsize car,5.0,22.0,31.0,26.0,5,No
50,2008,AUDI A6,3.1,6,Auto-S6,4WD,Gasoline,CA,midsize car,6.0,17.0,25.0,20.0,6,no,47,2018,AUDI A6,3.0,60,SemiAuto-8,4WD,Gasoline,FA,midsize car,3.0,20.0,29.0,23.0,5,No
50,2008,AUDI A6,3.1,6,Auto-S6,4WD,Gasoline,CA,midsize car,6.0,17.0,25.0,20.0,6,no,48,2018,AUDI A6,3.0,60,SemiAuto-8,4WD,Gasoline,CA,midsize car,3.0,20.0,29.0,23.0,5,No
51,2008,AUDI A6,3.1,6,Auto-AV,2WD,Gasoline,CA,midsize car,6.0,18.0,27.0,21.0,6,no,43,2018,AUDI A6,2.0,40,AMS-7,2WD,Gasoline,CA,midsize car,5.0,25.0,34.0,28.0,6,No
51,2008,AUDI A6,3.1,6,Auto-AV,2WD,Gasoline,CA,midsize car,6.0,18.0,27.0,21.0,6,no,44,2018,AUDI A6,2.0,40,AMS-7,2WD,Gasoline,FA,midsize car,5.0,25.0,34.0,28.0,6,No
51,2008,AUDI A6,3.1,6,Auto-AV,2WD,Gasoline,CA,midsize car,6.0,18.0,27.0,21.0,6,no,45,2018,AUDI A6,2.0,40,SemiAuto-8,4WD,Gasoline,CA,midsize car,5.0,22.0,31.0,26.0,5,No
51,2008,AUDI A6,3.1,6,Auto-AV,2WD,Gasoline,CA,midsize car,6.0,18.0,27.0,21.0,6,no,46,2018,AUDI A6,2.0,40,SemiAuto-8,4WD,Gasoline,FA,midsize car,5.0,22.0,31.0,26.0,5,No
51,2008,AUDI A6,3.1,6,Auto-AV,2WD,Gasoline,CA,midsize car,6.0,18.0,27.0,21.0,6,no,47,2018,AUDI A6,3.0,60,SemiAuto-8,4WD,Gasoline,FA,midsize car,3.0,20.0,29.0,23.0,5,No
51,2008,AUDI A6,3.1,6,Auto-AV,2WD,Gasoline,CA,midsize car,6.0,18.0,27.0,21.0,6,no,48,2018,AUDI A6,3.0,60,SemiAuto-8,4WD,Gasoline,CA,midsize car,3.0,20.0,29.0,23.0,5,No
52,2008,AUDI A6,4.2,8,Auto-S6,4WD,Gasoline,FA,midsize car,6.0,16.0,23.0,18.0,5,no,43,2018,AUDI A6,2.0,40,AMS-7,2WD,Gasoline,CA,midsize car,5.0,25.0,34.0,28.0,6,No
